workflow name,lora_tag,lora1_name,lora1_strength,lora2_name,lora2_strength,lora3_name,lora3_strength,lora4_name,lora4_strength,lora5_name,lora5_strength
pornmaster_proSDXLV8,fingering,xl\fingering_illustrious_V1.0.safetensors,0.8,xl\fingering-kabedon-illustriousxl-lora-nochekaiser.safetensors,0.6,,,,,,
pornmaster_proSDXLV8,missionary,xl\standing_missionary_ilxl_goofy.safetensors,0.9,xl\frenchkiss_tongue_illustrous.safetensors,0.65,,,,,,
pornmaster_proSDXLV8,cowgirl_pov,xl\femdomdominant_female_r2.safetensors,0.5,,,,,,,,
pornmaster_proSDXLV8,deepthroat,xl\deepthroat_pov_sdxl.safetensors,0.6,xl\deepthroat_side_sdxl.safetensors,0.6,,,,,,
pornmaster_proSDXLV8,breast_sucking,xl\breast-sucking-upright-straddle-v2-illustriousxl-lora-nochekaiser.safetensors,0.6,xl\breast_biting_v1.0.safetensors,0.3,xl\standing-breast-sucking-from-side-illustriousxl-lora-nochekaiser.safetensors,0.6,,,,
pornmaster_proSDXLV8,face_sitting,xl\Face_In_Ass_Illustrious_Epocsh10.safetensors,0.6,xl\facesit_v5.safetensors,0.6,xl\FacesittingAss_smothering-000012.safetensors,0.6,,,,
pornmaster_proSDXLV8,foot_licking,xl\foot_licking_amazon-000001.safetensors,0.4,xl\SuckingFootSexPart2v1.safetensors,0.4,xl\licking foot_illustrious_V1.0.safetensors,0.4,,,,
pornmaster_proSDXLV8,dildo_masturbation,xl\Masturbation with dildo (illustrious) v1.safetensors,0.9,,,,,,,,
pornmaster_proSDXLV8,cunnilingus,xl\GrabheadCunnilingus.safetensors,0.6,xl\WatchCunnilingus-000005.safetensors,0.6,xl\standing-cunnilingus-illustriousxl-lora-nochekaiser.safetensors,0.6,xl\tongue insertion cunnilingus_illustrious_V1.0.safetensors,0.6,,
pornmaster_proSDXLV8,mating_press,xl\mating-press-from-above-v3-illustriousxl-lora-nochekaiser.safetensors,0.7,xl\mating-press-from-side-v2-illustriousxl-lora-nochekaiser.safetensors,0.7,,,,,,
pornmaster_proSDXLV8,orgasm,xl\Pleasured Orgasm pose - XL - IL v1.0.safetensors,0.7,xl\orgasm face-SDXL-V1.safetensors,0.6,,,,,,
pornmaster_proSDXLV8,tongue_kissing,xl\Standing_Sex_Kiss_-_Concept.safetensors,0.5,xl\frenchkiss_tongue_illustrous.safetensors,0.9,,,,,,
pornmaster_proSDXLV8,masturbation,xl\Masturbation with dildo (illustrious) v1.safetensors,0.9,,,,,,,,
pornmaster_proSDXLV8,oral,xl\deepthroat_pov_sdxl.safetensors,0.6,xl\deepthroat_side_sdxl.safetensors,0.6,,,,,,
pornmaster_proSDXLV8,cowgirl,xl\femdomdominant_female_r2.safetensors,0.5,,,,,,,,
pornmaster_proSDXLV8,kiss,xl\Standing_Sex_Kiss_-_Concept.safetensors,0.5,xl\frenchkiss_tongue_illustrous.safetensors,0.9,,,,,,
pornmaster_proSDXLV8,doggy,xl\mating-press-from-above-v3-illustriousxl-lora-nochekaiser.safetensors,0.7,xl\mating-press-from-side-v2-illustriousxl-lora-nochekaiser.safetensors,0.7,,,,,,
pornmaster_proSDXLV8,sitting_panites,xl\add-detail.safetensors,0.6,,,,,,,,
pornmaster_proSDXLV8,standing_panties,xl\add-detail.safetensors,0.6,,,,,,,,
pornmaster_proSDXLV8,standing_butt,xl\add-detail.safetensors,0.6,,,,,,,,
